225 	12.830000 	30.629999 
250 	10.220000 	23.940001 
275 	11.030000 	26.250000 
300 	12.080000 	27.900000 
325 	11.300000 	28.000000 
350 	11.680000 	29.540001 
375 	12.340000 	29.629999 
400 	14.100000 	34.240002 
425 	12.660000 	30.430000 
450 	14.990000 	32.840000 
475 	14.850000 	34.410000 
500 	17.190001 	37.189999 
525 	17.219999 	38.310001 
550 	17.850000 	40.330002 
575 	18.090000 	41.209999 
600 	19.420000 	45.450001 
625 	26.860001 	56.869999 
650 	32.139999 	63.240002 
675 	28.040001 	56.950001 
700 	36.060001 	68.400002 
725 	30.860001 	58.759998 
750 	30.590000 	60.599998 
775 	32.439999 	64.809998 
800 	33.910000 	66.050003 
825 	35.930000 	68.580002 
850 	36.349998 	68.139999 
875 	36.200001 	70.620003 
900 	39.520000 	72.190002 
925 	39.799999 	75.040001 
950 	39.849998 	77.010002 
975 	42.820000 	79.519997 
1000 	43.970001 	81.650002 
1025 	43.310001 	82.820000 
1050 	44.209999 	85.769997 
1075 	46.779999 	88.269997 
1100 	48.880001 	91.690002 
1125 	50.180000 	90.910004 
1150 	48.990002 	92.239998 
1175 	50.299999 	96.930000 
1200 	58.310001 	109.139999 
1225 	55.740002 	101.339996 
1250 	57.549999 	103.639999 
1275 	56.830002 	107.839996 
1300 	57.599998 	107.970001 
1325 	65.349998 	121.809998 
1350 	62.880001 	111.800003 
1375 	61.830002 	115.360001 
1400 	63.349998 	114.639999 
1425 	66.139999 	122.989998 
1450 	67.129997 	123.610001 
1475 	67.309998 	122.290001 
1500 	70.510002 	123.589996 
1525 	67.389999 	130.330002 
1550 	70.190002 	132.110001 
1575 	74.180000 	133.470001 
1600 	74.660004 	133.979996 
1625 	78.739998 	137.179993 
1650 	75.220001 	140.649994 
1675 	77.800003 	145.570007 
1700 	84.139999 	143.369995 
1725 	80.419998 	145.979996 
1750 	85.589996 	150.460007 
1775 	84.639999 	154.440002 
1800 	90.250000 	154.880005 
1825 	87.760002 	159.139999 
1850 	92.260002 	166.779999 
1875 	87.699997 	161.100006 
1900 	89.580002 	160.979996 
1925 	96.250000 	161.669998 
1950 	92.639999 	165.039993 
1975 	99.680000 	168.850006 
2000 	92.709999 	169.080002 
2025 	96.650002 	173.240005 
2050 	104.209999 	175.490005 
2075 	98.849998 	175.539993 
2100 	102.570000 	180.059998 
2125 	106.930000 	182.759995 
2150 	103.519997 	187.610001 
2175 	105.830002 	191.860001 
2200 	111.480003 	188.830002 
2225 	114.099998 	195.949997 
2250 	116.000000 	198.720001 
2275 	116.959999 	194.149994 
2300 	111.339996 	199.800003 
2325 	120.919998 	202.020004 
2350 	147.490005 	252.839996 
2375 	171.000000 	285.579987 
2400 	173.399994 	290.179993 
2425 	171.970001 	305.160004 
2450 	145.649994 	248.240005 
2475 	154.039993 	243.399994 
2500 	174.279999 	300.179993 
2525 	180.289993 	313.309998 
2550 	184.440002 	311.649994 
2575 	176.539993 	327.019989 
2600 	174.470001 	293.950012 
2625 	143.960007 	251.229996 
2650 	143.460007 	238.789993 
2675 	139.759995 	233.279999 
2700 	144.259995 	233.759995 
2725 	147.660004 	237.339996 
2750 	135.029999 	245.759995 
2775 	152.020004 	257.029999 
2800 	149.119995 	257.920013 
2825 	149.789993 	252.630005 
2850 	150.850006 	248.119995 
2875 	155.470001 	258.559998 
2900 	163.470001 	266.309998 
2925 	197.339996 	320.489990 
2950 	172.500000 	286.450012 
2975 	181.100006 	286.790009 
3000 	175.779999 	298.760010 
3025 	174.059998 	287.350006 
3050 	161.929993 	281.380005 
3075 	176.259995 	291.809998 
3100 	199.470001 	322.859985 
3125 	202.830002 	315.309998 
3150 	181.250000 	314.880005 
3175 	183.199997 	296.829987 
3200 	175.789993 	282.160004 
3225 	183.949997 	288.869995 
3250 	179.360001 	293.049988 
3275 	188.779999 	302.100006 
3300 	178.860001 	292.489990 
3325 	176.949997 	295.149994 
3350 	188.289993 	297.459991 
3375 	176.710007 	308.809998 
3400 	183.039993 	338.269989 
3425 	191.100006 	333.170013 
3450 	185.419998 	336.929993 
3475 	192.559998 	342.649994 
3500 	198.399994 	353.839996 
3525 	187.410004 	342.140015 
3550 	224.139999 	428.709991 
3575 	191.039993 	346.019989 
3600 	194.660004 	357.549988 
3625 	215.940002 	368.470001 
3650 	218.070007 	358.630005 
3675 	213.330002 	360.269989 
3700 	212.869995 	369.950012 
3725 	226.190002 	384.320007 
3750 	214.
